ICO,symbol,raised,hardcap,exchange_rate_USD,Exchange_rate_BTC,bonus,date,fst_exchange_date,days_to_exchange,Exchange_score,team,advisor_investor,use_case,social_media,Time_to_max,Max_flip,max_drawdown,time_to_2x,time_to_3x,time_to_4x,time_to_5x,time_to_10x,time_to_20x,current_progress
icon,ICX,43000,43000,0.11,0.00002886,,9/20/2017,10/27/2017,37,9,7,8,9,,73,29,235%,0,1,6,6,59,72,
cindicator,CND,15000,15000,0.01,0.00000264,,9/24/2017,10/13/2017,19,5,5,8,8,,67,7,-61%,47,52,52,67,n/a,n/a,
red pulse,RPX,14500,14500,0.0358,0.00000792,,10/8/2017,10/29/2017,21,3,6,8,6,,72,5,-76%,60,64,69,72,n/a,n/a,
Airswap,AST,12600,12600,0.3,0.00006312,,10/11/2017,,,,,,,,,,,,,,,,,
paragon,PRG,6000,100000,1,0.00017735,,10/16/2017,10/26/2017,10,2,3,3,3,,0,1,-91%,n/a,n/a,n/a,n/a,n/a,n/a,
request network,req,32895,,0.06,0.00001176,,10/17/2017,10/20/2017,3,8,7,8,9,,66,6,-62%,55,61,62,62,n/a,n/a,
Unikoin Gold,UKG,29436,86400,0.3,0.00008282,,10/23/2017,,,,,,,,,,,,,,,,,
decision token,HST,900,61000,0.0874,0.00001435,,10/30/2017,11/13/2017,13,5,5,6,10,,58,22,186%,0,0,42,43,56,59,
dragonchain,DRGN,13000,,0.0663,0.00000944,,11/3/2017,12/3/2017,30,5,8,7,8,,38,34,191%,0,5,14,15,27,32,
ripio credit network,RCN,37800,37800,0.0743,0.00000981,,11/5/2017,11/5/2017,3,8,6,8,9,,54,3,-25%,2,54,n/a,n/a,n/a,n/a,
grid+,grid,32200,89000,1.15,0.00017019,,11/12/2017,11/13/2017,1,1,8,7,7,,0,1,-76%,n/a,n/a,n/a,n/a,n/a,n/a,
quantstamp,QSP,31300,31300,0.072,0.00000933,,11/19/2017,11/21/2017,2,6,7,7,10,,49,5,-43%,2,33,48,49,n/a,n/a,
aion,AION,20000,20000,1,0.0002087,,11/24/2017,12/7/2017,13,7,,,,,35,3.5,-32%,26,33,n/a,n/a,n/a,n/a,
wabi,wabi,11500,11500,0.24,0.00002296,,11/30/2017,12/12/2017,12,6,8,9,9,,27,15,242%,0,0,4,5,26,n/a,
ETHLend,LEND,17860,17860,0.0173,0.0000021,,11/30/2017,,,,,,,,,,,,,,,,,
Storm,STORM,30716,27600,0.0113,0.00000066,,12/8/2017,,,,,,,,,,,,,,,,,
AELF,elf,25000,25000,0.099,0.00000718,,12/10/2017,12/21/2017,11,7,7,8,8,,16,23,804%,0,0,0,0,0,15,
gifto,GTO,10000,10000,0.1,0.00000598,,12/14/2017,12/18/2017,4,4,7,9,8,,24,11,287%,0,0,14,15,24,n/a,
medibloc,MED,21000,30000,0.0088,0.00000053,,12/15/2017,12/22/2017,7,2,7,8,8,,19,20,283%,0,3,5,16,18,19,
deepbrain chain,Dbc,11700,11700,0.0158,0.00000089,,12/15/2017,12/28/2017,13,4,2,8,9,,13,42,600%,0,0,0,0,3,11,
bounty0x,BNTY,1600,10000,0.0165,0.00000089,,12/16/2017,12/27/2017,11,5,3,5,9,,12,65,411%,0,0,0,0,1,1,
sophiatx,SPHTX,23000,80000,0.0716,0.00000361,,12/17/2017,12/26/2017,9,3,7,4,8,,23,28,600%,0,0,0,0,5,14,
zilliqa,ZIL,22000,22000,0.0038,0.00000025,,1/4/2018,1/25/2018,21,5,,,,,1,1,2000%,0,0,0,0,0,0,
Coinfi,COFI,15000,1500,0.1,0.0000068,,1/10/2018,1/29/2018,19,3,8,5,8,,1,34,136%,0,0,1,n/a,n/a,n/a,
GatCoin,GAT,14500,14500,0.0318,0.00000221,,1/14/2018,1/14/2018,5,2,,,,,1,3,-35%,0,0,n/a,n/a,n/a,n/a,
SelfKey,KEY,21776,21800,0.015,0.00000104,,1/14/2018,,,,,,,,,,,,,,,,,
Trinity Network Credit,TNC,20000,20000,0.06,0.00000445,,1/14/2018,,,,,,,,,,,,,,,,,
THEKEY,TKY,22000,22000,0.0352,0.00000266,,1/15/2018,2/6/2018,22,2,7,8,9,,2,1.65,-5%,n/a,n/a,n/a,n/a,n/a,n/a,
OriginTrail,TRAC,14557,14600,0.1,0.00001032,,1/17/2018,,,,,,,,,,,,,,,,,
Bluzelle,BLZ,19500,19500,0.12,0.0000096,,1/18/2018,1/18/2018,19,6,,,,,1,10.9x,500%,0,0,0,0,n/a,n/a,
Odyssey,OCN,50000,50000,0.0199,0.00000114,,1/23/2018,1/23/2018,1,5,,,,,5,9,143%,1,3,4,5,n/a,n/a,
WePower,WPR,40000,40000,0.13,0.00001373,,2/1/2018,,,,,,,,,,,,,,,,,
datawallet,DXT,40000,40000,0.18,0.00002515,,2/5/2018,2/9/2018,4,1,,,,,1,1,-68%,n/a,n/a,n/a,n/a,n/a,n/a,
Fusion,FSN,42000,42000,2.06,0.0002508,,2/11/2018,2/15/2018,4,2,,,,,1,1.54,5%,n/a,n/a,n/a,n/a,n/a,n/a,
